column_name,data_type,description,source,transformation
batch_id,string,Source batch identifier,raw,None
user_id,string,Unique user identifier,raw,trimmed
account_created,datetime,Account creation timestamp,raw,parsed to datetime
action_timestamp,datetime,Action event timestamp,raw,parsed to datetime
event_type,string,Type of user action,raw,lowercased
session_id,string,Session identifier,raw,None
session_start,datetime,Session start time,raw,parsed to datetime
session_end,datetime,Session end time,raw,parsed to datetime
bug_type,string,Bug classification if present,raw,trimmed
severity,string,Bug severity label,raw,lowercased
api_status,int,API response status,raw,None
country,string,Country code,raw,uppercased
